SIO2(WT%),AL2O3(WT%),FEOT(WT%),MGO(WT%),CAO(WT%),NA2O(WT%),K2O(WT%),TIO2(WT%),CR2O3(WT%)
50.67,16.65,7.63,8.72,11.77,2.75,0.29,1.28,0
50.85,14.9,7.75,11.75,11.54,1.69,0.54,0.67,0
49.69,16.23,8.61,9.74,11.27,2.99,0.07,1.13,0
49.69,16,8.75,10.36,10.93,2.74,0.11,1.14,0
49.91,16.09,8.79,10.4,10.98,2.3,0.11,1.14,0
49.91,16.29,8.66,9.8,11.33,2.53,0.07,1.14,0
50.06,16.14,8.74,10.09,11.01,2.37,0.13,1.17,0
50.06,16.38,8.48,9.31,11.5,2.65,0.18,1.17,0
48.43,18.02,7.63,9.99,11.39,3.22,0.06,0.97,0
49.1,17.78,7.85,9.57,11.42,2.86,0.1,1.06,0
48.86,15.02,9.28,13.56,10.77,1.59,0.08,0.59,0
49.07,14.31,9.62,14.14,10,1.73,0.35,0.54,0
49.17,14.03,9.4,14.75,9.69,1.8,0.32,0.59,0
49.5,14.9,9.33,12.91,10.36,1.91,0.22,0.61,0
49.54,14.31,9.35,13.58,10.33,1.83,0.21,0.6,0
49.6,14.68,9.19,13.07,10.59,1.86,0.16,0.61,0
49.93,14.37,9.22,12.94,10.56,1.82,0.28,0.64,0
50.01,14.41,9.25,12.76,10.61,1.8,0.28,0.64,0
50.24,15.14,9.37,11.05,10.82,2.06,0.42,0.67,0
50.39,15.22,9.38,10.71,10.91,2.06,0.42,0.68,0
50.46,15.23,9.19,11.64,10.23,2.19,0.24,0.61,0
51.27,14.15,8.22,12.6,10.62,1.8,0.58,0.5,0
51.77,13.76,9.45,11.89,10.12,1.79,0.46,0.53,0
52.03,14.66,8.37,10.7,10.78,2,0.7,0.53,0
48.94,16.23,8.84,11.37,10.87,2.08,0.49,0.89,0
49.08,15.66,9.19,12.79,9.78,2.17,0.41,0.63,0
49.5,14.38,9.07,13.35,9.9,2.18,0.4,0.91,0
49.5,13.83,9.32,13.48,9.89,2.21,0.45,0.99,0
49.7,14.01,9.12,13.39,9.67,2.26,0.55,0.99,0
49.71,13.91,9.15,12.75,10.43,2.28,0.48,0.96,0
49.91,14.09,9.19,12.93,9.79,2.31,0.48,0.97,0
50.15,14.05,9.05,13.16,9.51,2.27,0.56,0.95,0
50.19,14.36,9.07,12.68,9.82,2.23,0.45,0.91,0
50.36,14.56,8.86,12.85,9.52,2.17,0.46,0.91,0
51.17,14.49,9.27,9.88,10.49,2.6,0.83,0.98,0
51.47,15.09,9.47,10.13,10.62,1.68,0.44,0.81,0
51.49,14.19,8.76,12.28,9.73,1.93,0.65,0.69,0
51.54,13.69,8.5,12.66,9.26,2.58,0.46,1.04,0
51.7,14.54,8.97,9.55,10.51,2.6,0.85,0.98,0
51.74,15.97,7.75,10.7,9.58,2.55,0.58,0.82,0
51.83,15.95,7.86,10.44,9.71,2.47,0.56,0.87,0
51.83,15.27,7.85,11.41,9.8,2.31,0.42,0.82,0
48.93,16.75,8.61,9.6,10.84,2.01,1.56,1.19,0
48.96,15.25,8.62,11.86,10.78,1.99,1.21,0.83,0
49.17,15.17,8.6,11.57,11.06,1.87,1.19,0.85,0
49.18,15.13,8.69,11.81,10.75,1.87,1.2,0.86,0
49.23,16.37,8.59,9.96,10.93,1.99,1.58,0.87,0
49.25,14.76,8.51,12.57,10.48,1.88,1.22,0.83,0
49.29,16.26,8.59,9.9,10.99,2.04,1.56,0.9,0
49.69,16.85,8.38,8.7,10.59,2.21,1.56,1.45,0
48.29,16.05,9.52,10.62,10.68,2.26,0.84,1.28,0
49.17,15.28,9.61,10.51,9.58,2.91,1.07,1.42,0
49.18,15.24,8.17,11.07,9.44,3.38,1.45,1.28,0
49.33,15.21,9.4,11.24,9.81,2.56,0.73,1.27,0
49.5,16.08,7.6,9.25,10.02,2.86,2.45,1.29,0
49.61,15.72,8.9,9.62,10.01,2.77,1.31,1.55,0
49.65,14.9,9.32,11.96,8.87,2.61,1.22,1.03,0
49.97,16.62,8.47,9.81,9.23,3.22,1.04,1.23,0
50.05,16.77,8.46,9.3,10.57,1.92,1.25,1.19,0
50.06,15.57,8.4,10.45,10.04,2.8,1.11,1.11,0
50.09,15.48,7.19,9.48,10.16,3.33,2.22,1.3,0
50.3,15.28,8.56,10.19,10.1,2.86,1.1,1.11,0
50.35,16.3,8.38,9.42,9.42,3.31,1.08,1.33,0
50.53,15.26,9.38,9.76,8.99,2.99,1.15,1.31,0
50.61,16.34,8.31,9.71,9.15,3.39,0.92,1.16,0
50.68,16.47,8.39,9.5,9.1,3.3,0.95,1.19,0
50.69,16.49,8.52,8.75,9.35,3.26,1.13,1.36,0
50.7,16.42,8.24,9.65,9.02,3.1,1.15,1.29,0
50.79,14.5,9.77,10.73,9.37,2.46,0.74,1.24,0
50.8,14.66,8.96,11.14,9.42,2.65,1.02,0.98,0
50.81,16.55,8.46,8.8,9.13,3.35,1.12,1.34,0
50.87,14.85,8.93,10.82,9.45,2.68,1.03,0.99,0
50.91,17.17,7.59,8.74,8.86,3.29,1.49,1.42,0
50.91,17.16,7.59,8.74,8.86,3.29,1.49,1.42,0
50.95,16.73,6.8,9.2,9.11,3.88,1.59,1.12,0
50.96,16.72,7.11,9,9.07,3.7,1.62,1.17,0
51.16,16.32,6.33,8.49,10.53,3.13,2.07,1.07,0
51.3,16.82,7.5,9.45,9.08,2.98,1.32,1.06,0
51.31,16.53,7.76,9.14,8.95,3.55,1.14,1.18,0
51.33,16.9,7.04,9.62,8.77,3.54,1.31,1,0
51.35,16.8,7.5,8.66,8.9,3.35,1.79,1.07,0
51.36,16.87,7.39,8.55,8.94,3.43,1.81,1.06,0
51.38,15.29,8.39,10.54,9.15,2.77,1.37,0.96,0
51.46,17.43,6.74,9.2,9.08,3.59,1.17,0.88,0
51.69,17.66,7.06,8.89,9.03,3.3,1.05,0.88,0
51.69,17.66,7.05,8.89,9.03,3.3,1.05,0.88,0
51.73,17.55,6.99,8.71,9.2,3.41,1.09,0.9,0
51.81,13.82,8.64,11.16,9.22,2.45,1.19,1.33,0
52.02,17.53,6.48,9.09,8.97,3.73,1.03,0.8,0
53.31,16.27,7.37,8.83,10.01,2.5,0.57,0.81,0
53.25,15.61,7.46,10.09,9.67,2.32,0.58,0.73,0
52.1,14.95,8.62,9.41,8.9,2.83,1.44,1.22,0
52.25,14.92,8.63,9.37,8.87,2.74,1.49,1.22,0
52.17,16.17,7.4,10.21,8.37,3.03,1.3,0.94,0
53.06,17.07,6.81,8.39,8.08,3.6,1.48,1.15,0
57.24,15.18,6.75,8.13,7.4,3.17,1.08,0.76,0
57.72,15.79,6.5,6.67,7.71,3.36,1.12,0.82,0
55.76,14.3,7.06,10.05,7.59,3.24,0.92,0.76,0
54.72,14.41,7.89,9.34,8.03,3.32,0.97,0.98,0
54.01,16.02,7.65,8.71,8.33,3.06,0.77,1.06,0
53.26,16.05,7.29,8.04,10.76,2.83,0.57,0.82,0
53.46,16.48,7.16,9.24,9.3,2.68,0.55,0.8,0
53.25,16.89,7.12,9.14,9.33,2.65,0.48,0.81,0
53.32,16.28,7.26,9.63,9.36,2.5,0.54,0.81,0
52.05,15.97,7.72,10.79,9.43,2.41,0.57,0.8,0
52.39,14.04,8.28,11.49,9.15,2.78,0.56,1.02,0
61.29,15.35,5.79,6.39,5.35,3.46,1.3,0.79,0
57.02,15.31,6.65,8.11,7.58,3.14,1.15,0.76,0
56.93,15.3,6.6,8.23,7.63,3.16,1.11,0.76,0
57.3,15.46,6.64,7.67,7.57,3.18,1.14,0.77,0
56.48,15.1,7.76,7.79,7.62,3.06,1.09,0.83,0
55.36,13.96,7.38,10.59,7.56,3.11,0.97,0.79,0
54.96,14.55,7.88,9.1,7.9,3.28,1,1,0
54.87,13.75,7.46,11.1,7.82,2.93,0.93,0.81,0
54.73,14.39,7.96,9.15,8.11,3.34,0.99,0.99,0
54.58,14.56,8.03,9.28,7.97,3.25,0.99,1,0
54.3,16.13,7.65,8.34,8.24,3.25,0.67,1.08,0
52.54,15.07,8.94,9.64,8.52,3.01,0.7,1.17,0
52.29,16.03,7.74,10.14,9.48,2.66,0.57,0.78,0
